tagger_cut,msd_cut,n_evt_total,Fake,Sig,noevnt,raw_two_or_more,sig-fake
0.0,0,500,100.0,0.0,0.0,500,-100.0
0.0,10,500,72.39999999999999,27.200000000000003,0.4,362,-45.2
0.0,20,500,64.0,34.4,1.6,320,-29.599999999999998
0.0,30,500,60.0,37.8,2.1999999999999997,300,-22.2
0.0,40,500,55.800000000000004,41.8,2.4,279,-14.000000000000002
0.0,50,500,52.0,45.4,2.6,260,-6.6000000000000005
0.0,60,500,48.8,47.8,3.4000000000000004,244,-1.0
0.0,70,500,44.800000000000004,50.8,4.3999999999999995,224,6.0
0.0,80,500,39.4,52.400000000000006,8.200000000000001,197,13.0
0.0,90,500,36.0,52.400000000000006,11.600000000000001,180,16.400000000000002
0.0,100,500,32.6,53.2,14.2,163,20.599999999999998
0.0,110,500,29.799999999999997,53.6,16.6,149,23.799999999999997
0.0,120,500,28.199999999999996,53.400000000000006,18.4,141,25.2
0.0,130,500,27.200000000000003,52.6,20.200000000000003,136,25.4
0.0,140,500,25.4,52.2,22.400000000000002,127,26.8
0.0,150,500,23.200000000000003,51.800000000000004,25.0,116,28.599999999999998
0.0,160,500,20.599999999999998,51.6,27.800000000000004,103,31.0
0.0,170,500,17.0,48.0,35.0,85,31.0
0.0,180,500,12.2,44.800000000000004,43.0,61,32.6
0.0,190,500,8.6,42.8,48.6,43,34.2
0.0,200,500,6.6000000000000005,40.0,53.400000000000006,33,33.4
0.1,0,500,16.400000000000002,75.8,7.8,82,59.4
0.1,10,500,14.6,76.4,9.0,73,61.8
0.1,20,500,14.2,76.6,9.2,71,62.4
0.1,30,500,14.2,76.2,9.6,71,62.0
0.1,40,500,13.600000000000001,76.8,9.6,68,63.2
0.1,50,500,13.200000000000001,76.4,10.4,66,63.2
0.1,60,500,12.8,75.8,11.4,64,63.0
0.1,70,500,12.2,75.2,12.6,61,63.0
0.1,80,500,10.4,71.8,17.8,52,61.4
0.1,90,500,8.799999999999999,69.6,21.6,44,60.8
0.1,100,500,7.8,68.0,24.2,39,60.199999999999996
0.1,110,500,7.199999999999999,66.2,26.6,36,59.0
0.1,120,500,6.800000000000001,64.8,28.4,34,57.99999999999999
0.1,130,500,6.4,63.4,30.2,32,56.99999999999999
0.1,140,500,5.800000000000001,61.4,32.800000000000004,29,55.60000000000001
0.1,150,500,5.0,58.599999999999994,36.4,25,53.6
0.1,160,500,4.0,55.800000000000004,40.2,20,51.800000000000004
0.1,170,500,3.0,47.599999999999994,49.4,15,44.6
0.1,180,500,1.6,37.6,60.8,8,36.0
0.1,190,500,0.4,31.4,68.2,2,31.0
0.1,200,500,0.4,25.4,74.2,2,25.0
0.2,0,500,11.200000000000001,78.4,10.4,56,67.2
0.2,10,500,10.8,77.8,11.4,54,67.0
0.2,20,500,10.6,77.60000000000001,11.799999999999999,53,67.0
0.2,30,500,10.6,77.4,12.0,53,66.8
0.2,40,500,10.0,78.0,12.0,50,68.0
0.2,50,500,9.6,77.60000000000001,12.8,48,68.0
0.2,60,500,9.2,77.2,13.600000000000001,46,68.0
0.2,70,500,9.0,76.0,15.0,45,67.0
0.2,80,500,8.200000000000001,71.8,20.0,41,63.6
0.2,90,500,7.199999999999999,69.0,23.799999999999997,36,61.8
