mass_bin,count
0–100,0.0
100–200,0.0
200–300,0.0
300–400,0.007918191780821917
400–500,0.009078616438356163
500–600,0.008873835616438355
600–700,0.013105972602739723
700–800,0.014266397260273971
800–900,0.013174232876712327
900–1000,0.018157232876712327
1000–1500,0.1001378219178082
1500–2000,0.10628124657534245
2000–inf,0.0774754109589041
