mass_bin,count
0–100,8.9590367791033e-06
100–200,2.844138660032794e-06
200–300,9.95448531011478e-07
300–400,4.97724265505739e-07
400–500,2.844138660032794e-07
500–600,2.1331039950245953e-07
600–700,1.422069330016397e-07
700–800,0.0
800–900,0.0
900–1000,1.422069330016397e-07
1000–1500,0.0
1500–2000,0.0
2000–inf,0.0
