sample,pt_bin,count
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,50–250,0.0006143424657534
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,250–450,0.0058021232876712
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,450–650,0.0348127397260273
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,650–850,0.0841649178082191
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,850–1000,0.0524921506849315
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,1000–1500,0.1324931917808219
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,1500–2000,0.0509221643835616
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,2000–inf,0.0071673287671232
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,50–250,0.0010576363636363
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,250–450,0.0108785454545454
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,450–650,0.0394347272727272
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,650–850,0.1119583636363636
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,850–1000,0.1190596363636363
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,1000–1500,0.6741676363636364
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,1500–2000,0.1536594545454545
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,2000–inf,0.0187352727272727
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,50–250,0.000115965
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,250–450,0.000507669
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,450–650,0.000974106
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,650–850,0.000971529
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,850–1000,0.000767946
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,1000–1500,0.002301261
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,1500–2000,0.0018039
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,2000–inf,0.000646827
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,50–250,0.2818820338983051
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,250–450,4.084978983050848
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,450–650,14.694833898305088
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,650–850,21.247435932203395
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,850–1000,4.519354576271187
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,1000–1500,2.1210467796610173
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,1500–2000,0.0554522033898305
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,2000–inf,0.0277261016949152
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,50–250,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,250–450,0.0145854210526315
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,450–650,0.068381
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,650–850,0.1282380526315789
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,850–1000,0.1371408421052631
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,1000–1500,0.617702052631579
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,1500–2000,0.7510544736842105
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,2000–inf,0.0579628421052631
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,50–250,0.0484575
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,250–450,0.1832439
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,450–650,0.2263338
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,650–850,0.2005394999999999
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,850–1000,0.1540203
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,1000–1500,0.1473108
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,1500–2000,0.0107352
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,2000–inf,0.0043238999999999
result_WRtoNMutoMuMuTB-HadTop_MWR-1000_MN-700_13p6TeV,50–250,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-1000_MN-700_13p6TeV,250–450,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-1000_MN-700_13p6TeV,450–650,1.156039603960396
result_WRtoNMutoMuMuTB-HadTop_MWR-1000_MN-700_13p6TeV,650–850,1.156039603960396
result_WRtoNMutoMuMuTB-HadTop_MWR-1000_MN-700_13p6TeV,850–1000,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-1000_MN-700_13p6TeV,1000–1500,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-1000_MN-700_13p6TeV,1500–2000,0.0
