mass_bin,count
0–800,0.11465024940359185
800–1000,0.12898153057904083
1000–1200,0.08598768705269388
1200–1600,0.10031896822814287
1600–2000,0.057325124701795925
2000–2500,0.028662562350897963
2500–3000,0.0
3000–4000,0.0
4000–5000,0.0
5000–inf,0.0
