mass_bin,count
0–100,0.00179145281514098
100–200,0.0019407405497360616
200–300,0.0010450141421655716
300–400,0.0005971509383803266
400–500,0.00014928773459508166
500–600,0.0
600–700,0.0
700–800,0.0
800–900,0.0
900–1000,0.0
1000–1500,0.0
1500–2000,0.0
2000–inf,0.0
